landmark_id,category,name
0,http://commons.wikimedia.org/wiki/Category:Isa_Khan_Niyazi's_tomb,Isa Khan Niyazi's tomb
1,"http://commons.wikimedia.org/wiki/Category:Little_Tokyo,_Los_Angeles","Little Tokyo, Los Angeles"
2,http://commons.wikimedia.org/wiki/Category:Moni_tis_Metamorphosis_tou_Sotiros_-_Megalo_Meteoro_(Meteora),Moni tis Metamorphosis tou Sotiros - Megalo Meteoro (Meteora)
3,http://commons.wikimedia.org/wiki/Category:California,California
4,http://commons.wikimedia.org/wiki/Category:Gardens_by_the_Bay,Gardens by the Bay
5,http://commons.wikimedia.org/wiki/Category:Frontenpark_(Maastricht),Frontenpark (Maastricht)
6,http://commons.wikimedia.org/wiki/Category:Ch%C3%A2teau_de_Chinon,Château de Chinon
7,http://commons.wikimedia.org/wiki/Category:Ch%C3%A2teau_de_Chenonceau,Château de Chenonceau
8,http://commons.wikimedia.org/wiki/Category:Sokolniki_Park,Sokolniki Park
9,http://commons.wikimedia.org/wiki/Category:Brick_Lane,Brick Lane
10,http://commons.wikimedia.org/wiki/Category:Burren,Burren
11,http://commons.wikimedia.org/wiki/Category:Sochi_Arboretum,Sochi Arboretum
12,http://commons.wikimedia.org/wiki/Category:Kivikko,Kivikko
13,http://commons.wikimedia.org/wiki/Category:Syretsky_arboretum,Syretsky arboretum
14,http://commons.wikimedia.org/wiki/Category:Kopaonik,Kopaonik
15,http://commons.wikimedia.org/wiki/Category:So%C4%8Da,Soča
16,http://commons.wikimedia.org/wiki/Category:Brighton_Pier,Brighton Pier
17,http://commons.wikimedia.org/wiki/Category:Parque_Estadual_da_Serra_do_Mar,Parque Estadual da Serra do Mar
18,http://commons.wikimedia.org/wiki/Category:Beverweerd,Beverweerd
19,http://commons.wikimedia.org/wiki/Category:Niagara_Falls,Niagara Falls
20,http://commons.wikimedia.org/wiki/Category:Tsukiji_fish_market,Tsukiji fish market
21,http://commons.wikimedia.org/wiki/Category:Brompton_Cemetery,Brompton Cemetery
22,http://commons.wikimedia.org/wiki/Category:Jasper_National_Park,Jasper National Park
23,http://commons.wikimedia.org/wiki/Category:Valle_de_la_Luna_(Chile),Valle de la Luna (Chile)
24,http://commons.wikimedia.org/wiki/Category:International_Museum_of_Ceramics_in_Faenza,International Museum of Ceramics in Faenza
25,http://commons.wikimedia.org/wiki/Category:River_Severn,River Severn
26,http://commons.wikimedia.org/wiki/Category:Torre_de_H%C3%A9rcules,Torre de Hércules
27,http://commons.wikimedia.org/wiki/Category:Quinta_da_Boa_Vista,Quinta da Boa Vista
28,http://commons.wikimedia.org/wiki/Category:Jamali_Kamali_mosque_and_tomb,Jamali Kamali mosque and tomb
29,"http://commons.wikimedia.org/wiki/Category:Trinitatisfriedhof,_Dresden","Trinitatisfriedhof, Dresden"
30,http://commons.wikimedia.org/wiki/Category:Muskau_Park,Muskau Park
31,http://commons.wikimedia.org/wiki/Category:Matterhorn,Matterhorn
32,http://commons.wikimedia.org/wiki/Category:Sint-Gertrudiskerk_(Bergen_op_Zoom),Sint-Gertrudiskerk (Bergen op Zoom)
33,http://commons.wikimedia.org/wiki/Category:Patan_Durbar_Square,Patan Durbar Square
34,http://commons.wikimedia.org/wiki/Category:Parc_Angrignon,Parc Angrignon
35,http://commons.wikimedia.org/wiki/Category:Teatro_Carlo_Felice_(Genoa),Teatro Carlo Felice (Genoa)
36,http://commons.wikimedia.org/wiki/Category:Wat_Saket,Wat Saket
37,"http://commons.wikimedia.org/wiki/Category:Royal_Botanical_Garden,_Madrid","Royal Botanical Garden, Madrid"
38,http://commons.wikimedia.org/wiki/Category:Castle_Heeswijk,Castle Heeswijk
39,http://commons.wikimedia.org/wiki/Category:Ellora_Caves,Ellora Caves
40,http://commons.wikimedia.org/wiki/Category:Moszna_Castle,Moszna Castle
41,http://commons.wikimedia.org/wiki/Category:Intrepid_Sea-Air-Space_Museum,Intrepid Sea-Air-Space Museum
42,http://commons.wikimedia.org/wiki/Category:Helsinki_Lutheran_Cathedral,Helsinki Lutheran Cathedral
43,http://commons.wikimedia.org/wiki/Category:Kardzhali_History_Museum,Kardzhali History Museum
44,http://commons.wikimedia.org/wiki/Category:Temple_of_Poseidon_at_Cape_Sounion,Temple of Poseidon at Cape Sounion
45,http://commons.wikimedia.org/wiki/Category:Valle_de_Ordesa,Valle de Ordesa
46,http://commons.wikimedia.org/wiki/Category:Wan_Chai,Wan Chai
47,http://commons.wikimedia.org/wiki/Category:Namib-Naukluft_National_Park,Namib-Naukluft National Park
48,http://commons.wikimedia.org/wiki/Category:Uluru,Uluru
49,http://commons.wikimedia.org/wiki/Category:Death_Valley_National_Park,Death Valley National Park
50,http://commons.wikimedia.org/wiki/Category:RHS_Wisley,RHS Wisley
51,http://commons.wikimedia.org/wiki/Category:Wawel,Wawel
52,http://commons.wikimedia.org/wiki/Category:Pangong_Tso,Pangong Tso
53,"http://commons.wikimedia.org/wiki/Category:Petra,_Jordan","Petra, Jordan"
54,http://commons.wikimedia.org/wiki/Category:Feroz_Shah_Kotla,Feroz Shah Kotla
